Date,Open,High,Low,Close,Adj Close,Volume
2002-05-23,1.156429,1.242857,1.145714,16.750000,1.196429,104790000
2002-05-24,1.214286,1.225000,1.197143,16.940001,1.210000,11104800
2002-05-28,1.213571,1.232143,1.157143,16.200001,1.157143,6609400
2002-05-29,1.164286,1.164286,1.085714,15.450000,1.103571,6757800
2002-05-30,1.107857,1.107857,1.071429,15.000000,1.071429,10154200
2002-05-31,1.078571,1.078571,1.071429,15.070000,1.076429,8464400
2002-06-03,1.080000,1.149286,1.076429,15.799999,1.128571,3151400
2002-06-04,1.135714,1.140000,1.110714,15.650000,1.117857,3105200
2002-06-05,1.110714,1.159286,1.107143,16.060001,1.147143,1531600
2002-06-06,1.150000,1.232143,1.148571,16.549999,1.182143,2305800
2002-06-07,1.177857,1.177857,1.103571,15.660000,1.118571,1369200
2002-06-10,1.135000,1.175000,1.134286,16.190001,1.156429,484400
2002-06-11,1.156429,1.188571,1.128571,16.150002,1.153571,1003800
2002-06-12,1.153571,1.182143,1.089286,15.299999,1.092857,1799000
2002-06-13,1.104286,1.122143,1.080000,15.160000,1.082857,2567600
2002-06-14,1.082143,1.085714,0.980000,13.809999,0.986429,4783800
2002-06-17,1.013571,1.059286,0.917857,12.910000,0.922143,4855200
2002-06-18,0.938571,0.939286,0.842143,12.750000,0.910714,10808000
2002-06-19,0.911429,0.996429,0.892857,13.320001,0.951429,5482400
2002-06-20,0.971429,1.040000,0.950000,13.400000,0.957143,6111000
2002-06-21,0.982143,0.989286,0.947857,13.710000,0.979286,2346400
2002-06-24,0.979286,1.014286,0.957143,13.700000,0.978571,2567600
2002-06-25,0.988571,1.007143,0.947143,13.500000,0.964286,3941000
2002-06-26,0.963571,0.996429,0.921429,13.840000,0.988571,2924600
2002-06-27,1.009286,1.018571,0.942857,13.210000,0.943571,3817800
2002-06-28,0.960714,1.013571,0.960714,13.990000,0.999286,9234400
2002-07-01,1.000000,1.046429,0.992857,14.390000,1.027857,4585000
2002-07-02,1.053571,1.195000,1.039286,16.420000,1.172857,9020200
2002-07-03,1.178571,1.214286,1.117857,17.000000,1.214286,4957400
2002-07-05,1.214286,1.299286,1.213571,17.870001,1.276429,2003400
2002-07-08,1.252143,1.252143,1.167857,16.459999,1.175714,1953000
2002-07-09,1.175000,1.196429,1.114286,16.250000,1.160714,2935800
2002-07-10,1.161429,1.178571,1.132143,16.290001,1.163571,1554000
2002-07-11,1.154286,1.278571,1.132857,17.770000,1.269286,2529800
2002-07-12,1.278571,1.280000,1.207143,16.910000,1.207857,2837800
2002-07-15,1.242857,1.248571,1.076429,16.000000,1.142857,4239200
